DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Dec-2025,EQ,"502.50","503.70","494.00","501.75","494.40","495.00","496.31","577.00","433.30","15,06,050","74,74,63,953.20","31,744"
11-Dec-2025,EQ,"500.10","503.35","496.65","502.55","502.75","501.75","501.18","577.00","433.30","11,16,224","55,94,30,601.65","23,001"
10-Dec-2025,EQ,"505.00","505.95","498.10","503.60","500.00","502.55","502.29","577.00","433.30","13,11,806","65,89,06,030.05","22,660"
09-Dec-2025,EQ,"500.35","505.95","498.00","504.45","504.95","503.60","503.21","577.00","433.30","14,23,785","71,64,68,488.35","28,198"
08-Dec-2025,EQ,"508.10","510.90","500.75","510.10","505.00","504.45","503.80","577.00","433.30","11,40,189","57,44,30,177.80","24,126"
05-Dec-2025,EQ,"503.25","510.80","502.35","508.10","510.50","510.10","507.65","577.00","433.30","12,05,977","61,22,10,771.70","20,672"
04-Dec-2025,EQ,"505.15","510.25","502.55","506.00","507.65","508.10","507.96","577.00","433.30","13,71,715","69,67,71,535.20","24,282"
03-Dec-2025,EQ,"505.15","509.05","500.80","507.95","504.80","506.00","505.82","577.00","433.30","13,88,012","70,20,89,725.45","21,739"
02-Dec-2025,EQ,"513.10","517.85","507.00","515.25","507.00","507.95","510.75","577.00","433.30","24,34,279","1,24,32,98,931.55","35,732"
01-Dec-2025,EQ,"517.45","519.35","514.15","517.40","515.00","515.25","516.05","577.00","433.30","16,19,957","83,59,72,955.70","27,102"
28-Nov-2025,EQ,"520.45","520.45","513.45","519.15","518.60","517.40","516.08","577.00","433.30","9,99,605","51,58,71,229.25","13,101"
27-Nov-2025,EQ,"517.25","520.50","514.75","517.20","520.25","519.15","517.95","577.00","433.30","12,62,843","65,40,88,893.90","17,857"
26-Nov-2025,EQ,"514.15","520.05","513.85","514.40","517.90","517.20","517.56","577.00","433.30","9,14,828","47,34,78,672.55","15,212"
25-Nov-2025,EQ,"511.40","515.45","509.00","512.40","514.10","514.40","512.88","577.00","433.30","20,50,235","1,05,15,24,105.55","21,109"
24-Nov-2025,EQ,"516.95","517.85","511.40","515.65","512.15","512.40","513.59","577.00","433.30","59,26,288","3,04,36,94,166.75","35,371"
21-Nov-2025,EQ,"525.05","525.05","514.30","525.05","516.00","515.65","518.15","577.00","433.30","26,59,623","1,37,80,78,652.10","26,607"
20-Nov-2025,EQ,"519.05","527.00","516.70","517.55","523.80","525.05","523.49","577.00","433.30","29,56,054","1,54,74,78,211.40","51,236"
19-Nov-2025,EQ,"520.85","523.55","516.60","520.85","518.00","517.55","521.41","577.00","433.30","24,19,687","1,26,16,42,878.55","25,570"
18-Nov-2025,EQ,"524.20","524.25","512.50","524.25","519.55","520.85","519.46","577.00","433.30","19,58,068","1,01,71,38,241.25","29,800"
17-Nov-2025,EQ,"529.00","529.90","523.35","525.00","524.00","524.25","525.48","577.00","433.30","18,56,462","97,55,31,572.90","38,346"
14-Nov-2025,EQ,"522.00","527.00","517.55","522.20","524.70","525.00","523.63","577.00","433.30","17,89,377","93,69,77,646.35","27,303"
13-Nov-2025,EQ,"522.00","528.60","517.00","522.30","521.75","522.20","522.70","577.00","433.30","18,59,578","97,19,96,144.40","29,290"
12-Nov-2025,EQ,"519.95","524.90","516.05","519.95","521.75","522.30","521.43","577.00","433.30","25,17,903","1,31,29,10,268.70","48,364"
